LineItems_category,Item,Action,Spec,Quantity,Rate,Unit
,"Brick, flag and slab mortar bedded pavings",,,,,
,,Install,,,,
,,,Clay brick,,40,
,,,Concrete block,,35,
,,,Concrete flags,,40,
,,,Stone slabs,,45,
,Brick or block permeable sand bedded pavings,,,,,
,,Install,,,,
,,,Clay brick,,35,
,,,Concrete block,,30,
,Gravel paving,,,,,
,,Install,,,,
,"Brick, flag and slab surfaced steps",,,,,
,,Install,,,,
,,,Clay brick,,120,
,,,Concrete block,,90,
,,,Concrete flags,,120,
,,,Stone slabs,,140,
,Metal fencing,,,,,
,,Install,,,,
,,,Chain link,,90,
,,,Vertical bar,,140,
,Wood fencing,,,,,
,,Install,,,,
,,,Close boarded wood,,60,
,,,Wood palisade,,120,
,Masonry freestanding walls,,,,,
,,Install,,,,
,,,Concrete blocks,,30,
,,,Clay bricks,,38,
,,,Reclaimed bricks,,38,
,Masonry piers ,,,,,
,,Install,,,,
,,,Concrete blocks,,30,
,,,Clay bricks,,38,
,,,Reclaimed bricks,,38,
,Pedestrian gate,,,,,
,,Install,,,,
,,,Metal,,440,
,,,Wood,,320,
,Vehicular gates,,,,,
,,Install,,,,
,,,Metal,,1100,
,,,Wood,,865,
,Prefabricated conservatory,,,,,
,,Install,,,,
,Prefabricated garage,,,,,
,,Install,,,,
,Prefabricated porch,,,,,
,,Install,,,,
,Timber decking,,,,,
,,Install,,,,
,,,,,,
Soft Landscaping,,,,,,
,Topsoil,,,,,
,,Install,,,,
,Tree,,,,,
,,Install,,,,
,Shrub,,,,,
,,Install,,,,
,Flowers,,,,,
,,Install,,,,
,Turf,,,,,
,,Install,,,,
,Grass seed,,,,,
,,Install,,,,
,Green roof,,,,,
,,Install,,,,
,,,,,,
Above and below ground drainage,,,,,,
,Eaves rainwater drainage,,,,,
,,Install,,,,
,,,Alluminium,,20,
,,,Cast iron,,24,
,,,PVC-U,,14,
,Internal rainwater drainage ,,,,,
,,Install,,,,
,,,PVC-U,,14,
,Rainwater harvesting ,,,,,
,,Install,,,,
,Threshold rainwater drainage,,,,,
,,Install,,,,
,External discharge stacks and branches,,,,,
,,,WC,,120,
,,,Non-WC,,80,
,Internal discharge stacks,,,,,
,,Install,,,,
,,,WC,,70,
,Foul drainage pipework,,Non-WC,,90,
,,Install,,,,
,,,Plastic,,70,
,Surface water drainage pipework,,Clay,,90,
,,,,,,
,,,Plastic,,70,
,,,Clay,,90,
,Subsoil drainage pipework,,,,,
,,Install,,,,
,,,Plastic,,,
,,,Clay,,,
,Inspection chamber,,,,,
,,Install,,,,
,Manhole,,,,,
,,Install,,,,
,Septic tank systems,,,,,
,,Install,,,,
,Sewage treatment system,,,,,
,,Install,,,,
,Drainage fields,,,,,
,,Install,,,,
,Soakaways,,,,,
,,Install,,,,
,Outfalls to watercourses or swales,,,,,
,,Install,,,,
,Water distribution pipework,,,,,
,,Install,,,,
,,,,,,
Hot and cold water systems,,,,,,
,Water distribution heat sources,,,,,
,,Install,,,,
,,,Boiler,,750,
,,,Pump,,140,
,,,Solar,,,
,Water distribution storage,,,,,
,,Install,,,,
,,,Feed and expansion cysterns,,,
,,,Hot water storage cylinders,,,
,Domestic sprinkler systems,,,,,
,,Install,,,,
,,,,,,
Heating systems,,,,,,
,Mains gas supply,,,,,
,,Install,,,,
,Mains gas distribution,,,,,
,,Install,,,,
,Liquid fuel storage and distribution,,,,,
,,Install,,,,
,Heat sources for hot water central heating system,,,,,
,,Install,,,,
,,,Gas,,620,
,,,Gas combi,,750,
,,,LPG,,620,
,,,LPG combi,,750,
,,,Oil,,810,
,,,Oil combi,,1100,
,Pipework and heat emitters for hot water central heating system,,,,,
,,Install,,,,
,,,Convectors,,120,
,,,Radiators,,180,
,,,Towel rail,,160,
,Underfloor hot water central heating system,,,,,
,,Install,,,140,
,Local heating systems,,,,,
,,Install,,,,
,,,Gas fire,,230,
,,,Wood burning stove,,240,
,,,,,,
Ventilation systems,,,,,,
,Bathroom extractor fan,,,,,
,,Install,,,,
,,,Ceiling,,140,
,,,In-line,,220,
,,,Wall,,140,
,,,,,,
Electrical systems,,,,,,
,Electrical supply,,,,,
,,Install,,,,
,Consumer unit,,,,,
,,Install,,,,
,Power circuit,,,,,
,,Install,,,,
,,,12 Fuse,,320,
,Power socket,,,,,
,,Install,,,,
,,,Single,,70,
,,,Double,,75,
,Lighting circuit,,,,,
,,Install,,,,
,Light,,,,,
,,Install,,,,
,,,Pendant,,45,
,,,Down,,55,
,,,Spot,,45,
,Television distribution,,,,,
,,Install,,,,
,Fire detection and alarm,,,,,
,,Install,,,,
,Intruder alarm,,,,,
,,Install,,,,
